,genres_name,year_of_release,revenue_in_millions
270,Drama,2015,630.16189
271,Action,2005,162.949164
272,Comedy,2001,10.372291
273,Action,2000,237.202299
274,Action,2000,457.640427
275,Action,2002,358.372926
276,Adventure,2002,876.688482
277,Adventure,2006,599.04596
278,Thriller,2001,362.21174
279,Action,1991,520.0
281,Drama,2007,266.465037
282,Action,1994,378.882411
283,Thriller,2009,150.166126
284,Comedy,2010,310.650585
285,Action,2010,170.432927
286,Action,1996,242.295562
287,Drama,2012,425.368238
288,Drama,1996,100.138851
289,Adventure,2000,169.327687
290,Action,2012,312.573423
291,Adventure,2004,347.451894
292,Fantasy,2006,249.288105
294,Animation,2013,268.426634
295,Action,2010,278.731369
296,Action,1999,211.989043
297,Drama,2006,170.877916
298,Crime,2013,392.000694
299,Action,1995,336.529144
300,Adventure,1997,121.214377
301,Drama,2012,130.482868
302,Animation,2010,140.07339
303,Action,2004,82.102379
304,Action,2014,243.4
305,Adventure,2002,109.578115
306,Adventure,2009,68.688831
307,Action,2014,206.172544
308,Action,2015,133.718711
309,Fantasy,2005,0.0
310,Thriller,2015,93.820758
311,Action,2002,7.103973
313,Animation,2015,246.233113
314,Crime,1997,13.83513
315,Adventure,2001,433.013274
316,Drama,2002,193.772504
317,Drama,2011,95.311434
318,Animation,2007,149.044513
319,Action,2004,102.0
320,Action,2001,172.989651
321,Comedy,2012,104.907746
322,Adventure,1997,263.92018
323,Comedy,2010,288.347692
324,Adventure,2000,76.432727
325,Animation,2012,877.244782
326,Romance,2015,543.514353
327,Fantasy,2009,93.525586
328,Animation,2003,940.335536
329,Adventure,2003,1118.888979
330,Adventure,2002,926.2874
331,Adventure,2014,114.178613
332,Adventure,2001,274.70334
333,Thriller,2014,103.039258
334,Adventure,2001,368.780809
335,Thriller,2011,482.860185
336,Adventure,2008,162.839667
337,Action,2013,304.654182
339,Action,2004,631.442092
340,Action,1995,10.017322
341,Adventure,2010,226.497209
342,Action,1997,589.390539
343,Animation,1999,497.366869
344,Action,2010,167.805466
345,Action,2001,347.325802
346,Drama,2000,155.464351
347,Animation,2009,242.988466
348,Animation,2009,886.686817
349,Adventure,2013,188.133322
350,Action,2000,264.105545
351,Drama,2006,289.847354
352,Animation,1998,304.320254
353,Action,2008,188.072649
354,Thriller,2011,232.61743
355,Action,1995,366.101666
356,Action,2009,524.028679
358,Animation,2001,186.053725
359,Adventure,2015,233.755553
360,Drama,2008,200.276
361,Comedy,2008,201.596308
362,Action,2015,243.637091
363,Drama,2001,235.926552
364,Thriller,2003,182.290266
365,Drama,1997,171.120329
366,Action,2000,190.213455
367,Crime,2005,162.944923
368,Adventure,2013,174.578751
369,Action,2003,156.505388
371,Thriller,1997,118.063304
372,Action,2001,143.04956
374,Animation,2011,484.63576
375,Comedy,1999,93.7
377,Crime,1997,140.807547
378,Drama,2002,35.168966
379,Adventure,1982,79.114085
380,Romance,2005,108.539911
381,Fantasy,2010,16.178959
382,Drama,2003,148.336445
383,Action,1996,494.471524
384,Adventure,2000,429.632142
385,Animation,2006,384.335608
386,Action,2004,288.500217
387,Action,1997,315.156409
388,Thriller,2001,450.71715
389,Adventure,2011,132.274484
390,Animation,2012,358.375603
391,Comedy,2007,340.487652
392,Action,2012,208.076205
393,Comedy,2000,183.611771
394,Action,2011,152.930623
395,Comedy,2006,194.1687
396,Action,1998,250.649836
397,Comedy,2009,219.103655
398,Crime,2007,311.312624
399,Adventure,2006,197.309027
400,Adventure,2014,288.747895
402,Adventure,2003,80.916492
403,Adventure,1993,137.298489
404,Drama,2005,162.242962
405,Action,2006,158.468292
406,Drama,2011,0.0
407,Fantasy,1998,142.9401
408,Action,2002,78.382433
410,Adventure,2012,183.018522
411,Action,2010,47.664559
412,Action,2003,74.208267
413,Fantasy,2000,123.307945
415,Action,2012,41.037742
416,Comedy,2006,237.681299
417,Horror,1982,21.028755
418,Comedy,2010,112.483764
419,Adventure,2008,222.231186
420,Adventure,2008,160.388063
421,Crime,2007,84.785914
423,Fantasy,2003,484.572835
424,Thriller,2010,274.470394
425,Adventure,1996,457.696359
427,Comedy,2011,254.455986
428,Action,1992,280.0
429,Comedy,2006,343.397247
430,Animation,2002,145.771527
431,Comedy,2006,144.0
432,Action,1998,140.464664
433,Action,2013,0.0
434,Comedy,2005,190.320568
435,Comedy,2011,342.695435
436,Comedy,2013,246.984278
437,Action,2008,230.685453
438,Drama,2003,266.728738
439,Drama,2010,294.804195
440,Comedy,2008,163.733697
441,Animation,2005,260.696994
442,Action,1997,245.676146
443,Fantasy,2008,212.874442
444,Thriller,2002,181.001478
445,Romance,2011,214.918407
446,Action,1997,224.012234
448,Drama,2003,173.013509
449,Action,2010,157.107755
450,Comedy,1997,177.977226
451,Horror,1999,91.188905
452,Animation,1996,250.2
453,Action,2006,0.0
454,Drama,2008,233.093859
455,Action,1997,136.982834
457,Action,1998,164.0
458,Comedy,2010,201.584141
460,Comedy,2011,169.852759
461,Adventure,1998,136.159423
462,Drama,2004,96.105964
463,Romance,1998,0.0
464,Animation,2015,473.226958
465,Animation,1999,90.87457
467,Action,1998,0.0
468,Action,2001,147.080413
469,Action,2005,142.400065
470,Drama,1998,71.485043
471,Comedy,2000,0.0
472,Adventure,2005,105.316267
473,Comedy,1996,101.371017
475,Action,1997,43.312294
476,Action,2009,122.444772
477,Drama,2000,34.566746
478,Action,1996,159.212469
479,Animation,2013,126.546518
480,Action,2000,21.4
481,Animation,2003,68.514844
482,Drama,2009,53.825515
483,Action,2003,19.480739
484,Drama,1997,17.626234
485,Adventure,1998,69.13186
486,Fantasy,2015,146.93691
487,Thriller,2000,33.463969
488,Adventure,2006,107.944236
490,Thriller,2005,5.98964
491,Action,2014,117.831631
492,Comedy,2015,0.0
493,Drama,2001,313.542341
495,Adventure,2012,355.69276
496,Animation,2013,248.384621
497,Crime,2002,209.196298
499,Comedy,2011,149.673788
500,Action,2003,236.350661
501,Adventure,2015,97.57125
503,Action,2000,35.13482
505,Fantasy,2003,179.265204
506,Animation,2013,970.761885
507,Action,1996,816.969268
508,Adventure,1997,229.074524
510,Drama,2006,69.959751
511,Adventure,2000,296.339527
512,Action,2008,258.270008
513,Action,1996,335.062621
514,Animation,2006,660.94078
515,Comedy,2004,196.482882
517,Horror,2004,78.000586
518,Action,1999,0.0
519,Thriller,2013,117.698894
520,Comedy,2010,271.430189
521,Comedy,2004,219.417255
522,Comedy,2009,73.03446
523,Action,2000,215.663859
524,Comedy,2007,119.00041
525,Animation,2004,367.275019
526,Drama,2006,154.93768
527,Comedy,2005,95.226116
528,Drama,2005,130.358911
529,Action,2003,85.632458
530,Action,2010,98.159963
531,Comedy,2015,108.145109
532,Comedy,2004,55.041367
533,Animation,2006,140.175006
534,Action,2001,67.631903
535,Action,1995,127.600435
536,Drama,1999,0.0
537,Fantasy,2011,226.904017
539,Animation,2000,36.754634
540,Action,2003,51.142659
541,Action,1998,14.567883
542,Action,2009,5.802422
543,Adventure,2001,5.409517
544,Action,2004,21.00918
547,Action,2011,89.792502
548,Crime,1998,103.891409
551,Romance,2008,111.231041
552,Comedy,2009,61.458982
553,Thriller,2007,86.658558
554,Comedy,2006,162.966177
555,Comedy,2001,176.104344
556,Action,1995,210.0
557,Drama,2005,96.889998
558,Animation,2007,527.068851
559,Drama,2001,37.317558
560,Action,2001,54.744738
561,Adventure,2004,62.17205
562,Drama,2004,256.69752
563,Comedy,1998,294.456605
564,Drama,2002,408.247917
565,Adventure,2004,919.838758
566,Animation,2006,461.983149
567,Comedy,1999,309.457509
568,Action,2002,277.448382
569,Animation,2015,311.594032
570,Action,1996,309.492681
571,Drama,2009,319.13105
572,Adventure,1991,300.854823
573,Action,1990,240.031094
574,Action,2003,116.643346
575,Drama,2001,203.388341
576,Drama,2006,42.285169
577,Adventure,2004,171.183863
578,Comedy,2009,443.140005
579,Action,2002,114.660784
580,Action,2013,161.02564
582,Action,2011,202.466756
583,Adventure,2003,122.919055
584,Fantasy,1994,0.0
585,Drama,2011,177.584879
587,Adventure,1989,90.000098
588,Drama,2010,134.748021
589,Horror,2014,215.529201
590,Drama,1998,116.672912
591,Adventure,2007,135.560026
592,Adventure,1997,131.457682
593,Comedy,2011,67.112664
594,Action,2002,65.977295
595,Adventure,2005,55.987321
596,Action,2002,33.561137
597,Fantasy,2012,160.112671
598,Comedy,2012,59.418613
599,Drama,2002,32.287044
600,Action,2011,57.777106
601,Action,2002,0.0
602,Action,2002,19.924033
603,Thriller,1998,19.870567
604,Adventure,2001,13.596911
605,Animation,2013,18.662027
606,Crime,2015,17.75294
608,Crime,2006,38.629478
609,Action,2013,122.915111
610,Action,2014,61.279452
611,Thriller,2002,193.0
612,Adventure,2010,698.491347
613,Action,2001,71.069884
614,Animation,2010,543.513985
615,Action,1995,35.431113
616,Comedy,2015,217.022588
617,Adventure,2009,39.041505
618,Adventure,1999,29.762011
619,Comedy,2011,83.160734
620,Drama,1999,60.289912
622,Action,2008,113.280098
623,Comedy,2010,86.387857
624,Action,2012,112.265139
625,Romance,1999,212.404396
627,Action,2007,25.303038
628,Drama,1998,481.840909
629,Action,2014,203.277636
630,Comedy,2000,374.111707
631,Animation,2002,383.257136
632,Drama,2003,75.715436
634,Action,1999,463.517383
635,Drama,1995,355.237933
636,Fantasy,2002,172.855065
637,Drama,2012,441.80977
638,Comedy,1998,250.821495
639,Comedy,2008,128.107642
640,Action,1998,250.288523
641,Comedy,2010,211.780824
642,Drama,2014,163.442937
643,Action,2000,128.884132
644,Action,1993,255.000211
645,Action,1996,150.270147
646,Fantasy,2000,69.7
647,Drama,2006,162.945894
648,Drama,2003,0.0
649,Comedy,2012,179.379533
651,Comedy,2014,133.821816
652,Romance,2015,153.962963
653,Action,2012,156.974557
655,Action,1984,38.376497
656,Comedy,1998,0.0
657,Action,2012,240.159255
658,Action,2008,73.762516
659,Crime,1996,89.456761
660,Action,2000,0.0
662,Drama,1999,100.853753
663,Drama,2006,43.545364
664,Action,1991,17.21808
665,Action,2000,0.0
666,Horror,2014,71.154592
667,Crime,2005,42.093706
668,Action,2005,56.681566
669,Crime,2014,39.407616
670,Drama,1999,74.60857
671,Adventure,2015,203.427584
672,Crime,2006,132.180323
673,Comedy,2002,296.655431
674,Animation,2009,44.091067
675,Adventure,1993,920.1
676,Drama,1994,25.052
677,Action,1994,215.887717
678,Action,2015,121.545703
679,Comedy,2006,101.595121
680,Action,2000,127.666415
681,Comedy,1995,107.879496
682,Comedy,2008,41.819064
683,Action,2001,18.720175
684,Crime,2015,155.760117
685,Action,2007,0.0
686,Animation,2011,183.953723
687,Action,2006,422.610419
688,Comedy,2004,516.642939
689,Comedy,2008,244.082376
690,Fantasy,1999,284.6
691,Action,2007,253.625427
692,Animation,2005,314.432665
694,Action,2002,214.034224
695,Adventure,1995,352.194034
696,Crime,1999,149.705852
697,Comedy,1998,264.118201
698,Adventure,1998,218.613188
699,Comedy,2003,164.433867
700,Action,2013,131.940411
701,Comedy,2001,93.375151
702,Action,2003,176.070171
703,Romance,2002,93.354918
704,Adventure,1998,171.757863
705,Comedy,2009,171.84484
706,Adventure,1990,157.920733
707,Comedy,2005,129.18183
708,Action,2015,311.256926
709,Drama,2010,204.594016
710,Comedy,2000,0.0
711,Action,2010,71.664962
712,Drama,1999,100.230832
713,Drama,1998,186.883563
714,Drama,2004,217.764291
715,Action,2002,165.33318
716,Drama,2004,74.541707
717,Crime,2012,218.340595
718,Action,1999,73.648228
720,Drama,2011,137.551594
721,Comedy,2003,0.0
722,Animation,2009,124.596398
723,Thriller,2008,163.403799
724,Action,2004,130.293714
725,Comedy,2006,61.112916
726,Comedy,2004,170.26875
728,Fantasy,2004,99.318987
729,Drama,1998,56.702901
731,Action,1997,159.33028
732,Action,2003,96.269812
733,Drama,1996,0.0
734,Adventure,2008,50.877145
735,Thriller,2002,0.0
736,Action,1995,104.324083
737,Action,2014,50.549107
738,Drama,2015,101.134059
741,Action,2007,95.696996
742,Animation,2014,108.25577
743,Drama,1998,46.683377
744,Adventure,2014,469.160692
745,Action,2005,0.0
746,Adventure,2002,43.061982
747,Crime,2013,105.200903
748,Comedy,2009,62.3579
749,Drama,2009,122.233971
750,Action,2009,87.784194
751,Romance,2009,60.0
752,Comedy,1999,36.850101
753,Action,2006,77.920346
756,Crime,2003,119.940815
757,Drama,2012,0.0
758,Crime,2010,74.901339
759,Horror,1997,33.956608
760,Comedy,2002,55.003135
761,Action,2008,73.174566
762,Action,1998,0.0
763,Drama,2009,31.720158
764,Fantasy,2000,39.459427
765,Drama,2000,47.383689
766,Animation,2006,141.702264
767,Action,2005,71.073932
768,Action,2011,78.309131
770,Horror,1997,26.673242
771,Drama,2002,52.3224
772,Drama,2006,49.111202
773,Action,2006,17.8
774,Action,2001,27.642707
775,Horror,2000,14.828081
776,Drama,2014,30.800231
777,Action,2013,90.565421
778,Comedy,2008,50.650079
779,Drama,2005,25.473093
780,Comedy,1999,0.0
781,Adventure,2008,57.490374
782,Action,2008,39.031337
783,Comedy,2015,30.41856
784,Adventure,2007,0.0
785,Drama,2003,0.0
787,Action,2005,10.166502
789,Drama,1998,0.0
791,Adventure,2015,158.162788
792,Comedy,2005,102.854431
794,Action,1988,189.015611
795,Comedy,2008,41.299492
796,Comedy,2015,0.0
797,Comedy,2009,85.28025
798,Comedy,2013,44.0
799,Action,2010,300.228084
800,Drama,2012,50.365377
801,Drama,1997,152.94466
802,Comedy,2012,58.058367
803,Fantasy,1996,115.267375
804,Action,2004,61.347797
805,Action,2011,149.217355
806,Drama,2001,62.112895
807,Action,2005,113.00688
808,Adventure,2004,57.22389
809,Comedy,1994,677.945399
810,Comedy,2007,361.366633
811,Comedy,2000,330.444045
812,Adventure,1995,346.079773
814,Fantasy,1996,128.769345
815,Comedy,2005,368.10042
816,Adventure,1997,0.0
817,Comedy,2003,231.449203
818,Action,2013,95.0
819,Comedy,2010,152.26388
820,Fantasy,1995,287.928194
821,Thriller,2014,192.330738
822,Comedy,2002,154.906693
823,Action,1995,157.387195
824,Drama,2006,307.077295
825,Thriller,2005,223.387299
826,Drama,1994,214.015089
827,Drama,1998,198.685114
828,Action,2003,180.949
829,Comedy,1999,0.0
830,Action,2004,152.159461
831,Action,1989,63.408614
832,Fantasy,1992,149.02265
833,Adventure,2000,56.932305
834,Action,1996,121.969216
835,Comedy,2011,187.361754
836,Action,2008,127.906624
837,Animation,2013,110.0
840,Action,1998,41.610884
841,Adventure,1996,75.0
843,Comedy,2012,68.267862
844,Drama,2003,34.234008
845,Drama,1999,0.0
846,Comedy,2003,33.828318
847,Comedy,2008,33.47285
848,Animation,2012,118.338361
849,Crime,2008,113.020255
850,Action,1996,60.209334
851,Drama,1996,18.626419
852,Thriller,2004,154.648887
853,Drama,2007,74.237563
854,Action,2005,52.304001
855,Drama,2003,12.923936
856,Action,1997,11.466088
857,Comedy,2009,0.0
858,Comedy,2014,80.38329
859,Action,2004,28.283637
860,Drama,2010,89.519773
861,Drama,2004,0.0
863,Action,2002,6.416302
864,Fantasy,2002,155.010032
865,Drama,2008,168.167691
866,Action,2013,9.489829
867,Crime,1990,136.766062
868,Comedy,2005,52.034889
869,Comedy,2006,130.431368
870,Action,1980,190.458706
871,Drama,2003,7.266209
872,Drama,2006,9.450897
873,Action,2000,107.196498
874,Animation,1997,139.804348
875,Drama,2001,179.213434
877,Crime,2015,98.837872
879,Drama,2009,126.690726
880,Thriller,2007,25.037897
881,Drama,1998,0.0
882,Drama,2007,5.761917
883,Drama,2002,352.114312
884,Thriller,2012,132.820716
885,Romance,2006,204.999686
886,Comedy,2008,609.841637
887,Comedy,2010,216.485654
888,Action,2005,110.803676
889,Drama,1998,98.126565
890,Comedy,2011,75.450437
891,Comedy,1999,47.43443
892,Drama,1995,116.112375
893,Action,2010,52.826594
894,Action,2003,0.0
895,Comedy,2000,149.270999
896,Animation,2006,72.779
897,Comedy,2006,47.23107
898,Adventure,2009,709.827462
899,Adventure,2001,484.409218
901,Adventure,1991,390.493908
902,Comedy,1996,273.552592
903,Comedy,2012,549.368315
904,Comedy,1997,314.178011
905,Comedy,1998,202.292902
906,Comedy,2013,173.649015
907,Comedy,2002,171.269535
908,Thriller,2011,260.095987
909,Drama,2000,256.271286
