,genres_name,year_of_release,revenue_in_millions
1101,Animation,2012,0.073706
1102,Drama,2012,232.324128
1103,Adventure,1993,368.87576
1104,Action,2010,136.0
1105,Crime,1996,165.615285
1106,Action,1985,300.400432
1107,Drama,1996,0.0
1109,Action,1980,3.484331
1110,Fantasy,2006,111.340801
1111,Drama,2015,34.227298
1112,Drama,2000,80.049764
1113,Comedy,2000,0.0
1114,Action,2005,50.871113
1115,Romance,2002,68.69677
1116,Drama,1993,270.248367
1117,Drama,2010,48.190704
1118,Action,2011,51.070807
1119,Action,2012,201.585328
1120,Romance,1999,363.889678
1121,Animation,2000,224.834564
1122,Comedy,2004,171.963386
1123,Comedy,1992,70.1
1124,Action,2013,158.67418
1126,Comedy,2012,73.100172
1127,Drama,2002,63.78181
1128,Comedy,1996,0.0
1129,Drama,2002,55.157539
1130,Comedy,2009,0.0
1131,Adventure,1989,156.167015
1132,Fantasy,2011,89.162162
1133,Action,2001,56.35998
1134,Adventure,1993,20.915465
1135,Crime,2005,24.127895
1136,Drama,2002,177.394432
1137,Action,2012,36.893721
1138,Action,2014,12.342632
1139,Adventure,2010,11.087569
1140,Action,2009,14.0
1141,Drama,2002,215.0
1142,Adventure,2015,0.0
1143,Adventure,2001,117.487473
1144,Thriller,2003,0.0
1146,Action,2012,46.221189
1147,Comedy,2011,7.448385
1148,Drama,1984,90.815558
1149,Drama,2013,251.171807
1150,Comedy,2009,317.375031
1151,Crime,1999,177.841558
1152,Adventure,1989,332.0
1153,Action,2014,126.546825
1154,Drama,2015,571.006128
1155,Action,2003,197.011982
1156,Crime,1996,152.266007
1157,Comedy,2003,190.212113
1158,Action,2013,149.295601
1159,Comedy,1992,107.458785
1161,Drama,2010,224.920315
1162,Comedy,2009,177.259441
1163,Comedy,2006,178.26262
1164,Horror,2000,161.834276
1165,Adventure,1990,244.527583
1166,Comedy,2015,111.811453
1167,Romance,1992,215.862692
1168,Romance,2009,129.540499
1169,Drama,2013,95.020213
1170,Thriller,1999,128.798265
1171,Comedy,2014,169.83701
1172,Adventure,2006,120.455994
1173,Comedy,2015,194.564672
1175,Action,1992,75.505856
1176,Drama,2004,124.731534
1177,Action,2005,158.73382
1178,Drama,2008,151.161491
1179,Comedy,2009,91.636986
1180,Comedy,2001,141.06986
1181,Drama,1991,205.405498
1182,Comedy,2006,138.259062
1183,Action,2001,147.845033
1184,Comedy,2009,136.267476
1185,Comedy,2014,196.781193
1186,Horror,2009,186.167139
1187,Thriller,2015,165.478348
1188,Action,2001,91.753202
1189,Comedy,2010,90.029656
1190,Drama,2004,170.12846
1191,Comedy,1998,54.682547
1192,Action,1997,87.840042
1193,Action,2002,75.395048
1194,Crime,2011,85.412898
1195,Action,2011,130.786397
1196,Drama,2006,109.676311
1197,Comedy,2014,107.670357
1198,Animation,2013,74.597643
1199,Action,2006,120.17529
1200,Action,1987,191.185897
1201,Action,2010,126.248813
1202,Comedy,1986,0.0
1203,Thriller,2004,92.913171
1204,Romance,2006,114.830111
1205,Drama,2005,91.974818
1206,Fantasy,2012,51.854875
1207,Comedy,2008,84.601681
1209,Drama,1997,45.916769
1210,Horror,2003,141.591324
1211,Drama,1997,74.0
1212,Adventure,1992,0.0
1213,Fantasy,2007,41.797066
1214,Comedy,1994,0.0
1215,Drama,2000,0.0
1216,Comedy,2007,145.896422
1217,Adventure,2011,97.55205
1218,Comedy,2012,41.863726
1219,Horror,2011,97.138686
1220,Thriller,1999,96.618699
1221,Drama,1991,34.416893
1222,Comedy,2014,126.069509
1223,Comedy,2000,36.037909
1224,Horror,2011,157.887643
1225,Comedy,1999,0.0
1226,Drama,2000,55.707411
1227,Comedy,2005,50.451307
1228,Comedy,2008,0.0
1229,Comedy,2014,0.0
1230,Adventure,1994,48.063435
1231,Drama,2011,55.247881
1232,Comedy,2010,58.78518
1233,Drama,2005,46.442528
1234,Crime,2000,30.199105
1235,Drama,2005,31.67062
1236,Drama,2000,0.0
1237,Comedy,1999,29.0
1238,Fantasy,1996,49.627779
1239,Action,2001,27.053815
1240,Drama,2008,0.0
1241,Drama,2001,65.754228
1242,Horror,2007,62.771059
1244,Comedy,1994,24.332324
1245,Action,2011,60.965854
1246,Fantasy,1998,38.1725
1247,Crime,2002,22.433915
1248,Drama,1999,0.0
1249,Action,2004,46.546197
1250,Drama,1996,0.0
1251,Drama,1995,20.350754
1252,Drama,2006,60.47434
1253,Action,1995,0.0
1254,Action,2000,19.412993
1255,Thriller,2012,180.274123
1256,Action,1987,14.375181
1257,Adventure,2009,46.471023
1258,Comedy,2002,16.872671
1259,Comedy,1992,14.358033
1260,Comedy,2001,173.921954
1261,Comedy,2004,0.0
1262,Comedy,2004,13.395939
1263,Adventure,2012,24.719215
1264,Drama,1999,28.1211
1265,Horror,2002,18.902015
1266,Adventure,2009,28.169671
1267,Action,2003,19.322135
1268,Comedy,2008,0.0
1269,Action,1980,0.0
1270,Action,1999,10.667893
1271,Action,2009,20.645327
1272,Action,2001,0.0
1273,Action,2002,10.959475
1274,Comedy,2001,0.0
1276,Drama,2012,22.044277
1277,Adventure,2008,0.0
1278,Action,2015,13.644292
1279,Adventure,2006,23.93787
1280,Thriller,2007,117.760134
1281,Action,1995,7.563728
1282,Action,2007,0.0
1283,Comedy,1994,0.0
1284,Action,2007,0.0
1285,Action,2005,0.0
1286,Action,2013,86.758912
1287,Adventure,2011,0.0
1288,Action,2004,0.0
1289,Fantasy,1994,94.0
1290,Action,2015,100.0
1291,Drama,2009,101.229792
1292,Comedy,2007,69.48549
1293,Animation,2012,35.287788
1295,Romance,2004,6.61428
1296,Comedy,1983,75.850624
1297,Comedy,2013,44.90726
1298,Adventure,2008,127.814609
1299,Comedy,2002,180.622424
1300,Comedy,2009,205.298907
1301,Comedy,1996,0.0
1302,Action,2002,119.723358
1304,Action,2013,64.076736
1305,Drama,2011,114.15623
1306,Adventure,2014,0.0
1307,Drama,1999,73.956241
1308,Drama,2002,51.801187
1309,Crime,2001,0.0
1310,Action,2015,107.597242
1311,Drama,2001,29.7
1312,Comedy,2001,0.0
1313,Horror,1999,58.401898
1314,Drama,1996,17.380126
1316,Drama,2009,47.536959
1317,Action,1996,10.3
1318,Horror,1982,19.62976
1320,Action,1997,6.482195
1321,Action,2001,0.0
1322,Adventure,2008,17.869048
1323,Drama,2012,28.25806
1324,Adventure,2007,5.410749
1325,Drama,2008,9.793496
1327,Drama,2015,173.567581
1328,Crime,2010,154.026136
1329,Romance,2012,79.7
1330,Comedy,2008,163.720069
1331,Adventure,2008,100.076342
1332,Drama,2013,90.247624
1333,Drama,1999,48.451803
1334,Action,2010,55.583804
1336,Drama,2011,95.404397
1337,Adventure,2008,392.616625
1338,Drama,2002,102.24477
1339,Action,1999,117.7585
1340,Comedy,2013,269.994119
1341,Action,2008,21.834845
1342,Drama,1997,50.159144
1343,Adventure,1983,160.0
1346,Thriller,2000,32.16897
1347,Action,2003,44.350926
1348,Drama,2015,26.25002
1350,Drama,1999,0.0
1351,Drama,2011,96.047633
1352,Thriller,1997,12.532777
1353,Drama,2000,3.003296
1354,Animation,2008,63.800345
1355,Comedy,2003,0.0
1356,Comedy,2009,459.270619
1357,Action,2015,156.844753
1358,Adventure,1999,310.940086
1359,Fantasy,1989,411.348924
1360,Drama,2011,0.0
1361,Adventure,1992,321.731527
1362,Drama,2009,309.208309
1363,Action,2001,147.93418
1364,Comedy,2011,117.0
1365,Drama,2010,252.276927
1366,Comedy,2006,326.551094
1368,Comedy,2013,173.96501
1369,Crime,1991,182.3
1370,Drama,2008,69.823199
1371,Comedy,2015,140.795793
1372,Comedy,2005,68.915888
1373,Drama,1996,231.976425
1374,Crime,1997,126.21694
1375,Adventure,2005,86.369815
1376,Comedy,1997,0.0
1378,Horror,1984,25.504513
1379,Horror,2000,104.155843
1380,Action,1998,0.0
1381,Drama,2010,60.251371
1382,Adventure,2007,95.608995
1383,Drama,2003,52.277485
1384,Romance,2011,150.483765
1386,Comedy,2013,112.54458
1387,Drama,1992,48.169908
1388,Comedy,2012,88.058786
1389,Comedy,2009,92.21931
1390,Fantasy,2009,91.353501
1391,Comedy,2007,69.307224
1392,Comedy,2006,0.0
1393,Comedy,2005,58.405313
1394,Crime,1997,41.954997
1395,Horror,2002,102.984862
1396,Horror,1982,122.2
1397,Comedy,2004,0.0
1398,Action,2008,85.416905
1399,Action,2011,173.930596
1400,Comedy,2010,77.477008
1401,Comedy,2011,59.901913
1402,Adventure,2001,0.0
1404,Action,1994,99.423521
1405,Drama,2002,120.072577
1406,Drama,2006,0.0
1407,Horror,2005,68.766121
1408,Drama,2004,115.505027
1409,Drama,2011,84.60603
1410,Horror,2008,72.436439
1411,Drama,2002,45.47911
1413,Drama,2008,32.48341
1414,Comedy,1999,40.26302
1416,Comedy,2004,36.098382
1417,Action,2012,30.353232
1418,Crime,1997,25.105255
1419,Crime,2015,4.1
1420,Comedy,2010,93.246388
1421,Crime,1992,0.0
1422,Drama,2008,68.369434
1424,Drama,2015,50.36379
1425,Thriller,2011,82.087155
1426,Animation,2005,19.478106
1427,Comedy,2000,0.0
1428,Action,2008,25.871834
1429,Thriller,2013,19.701164
1430,Horror,2005,19.294901
1431,Crime,2012,31.083599
1432,Action,2015,51.680201
1434,Action,2013,46.216641
1435,Comedy,2004,41.512007
1436,Comedy,2010,39.340177
1437,Action,2012,0.0
1438,Fantasy,1983,16.51946
1439,Action,2007,63.215872
1440,Action,1991,0.0
1441,Comedy,2007,18.317151
1442,Drama,2001,0.0
1443,Action,2001,13.678913
1444,Drama,2009,27.409889
1445,Action,2009,12.206028
1446,Drama,2011,54.674226
1447,Action,1998,0.0
1448,Action,2014,17.508518
1449,Drama,2003,11.560806
1450,Action,2008,10.089373
1452,Adventure,2015,61.181942
1453,Fantasy,1997,0.0
1454,Comedy,2006,42.064105
1455,Drama,1992,4.651977
1456,Action,1993,0.0
1457,Action,1997,0.0
1458,Thriller,2002,16.83891
1459,Action,1981,0.0
1461,Drama,1999,0.635096
1462,Drama,2010,25.147786
1463,Action,2006,10.496317
1464,Drama,2009,0.0
1465,Action,2014,348.319861
1466,Comedy,2015,14.431253
1467,Drama,1993,32.25544
1468,Drama,2006,15.30489
1469,Action,1999,11.263966
1470,Action,2012,2.106557
1471,Animation,2008,187.479518
1472,Drama,2015,63.013281
1473,Drama,1999,19.598588
1474,Romance,2000,0.0
1475,Comedy,2012,0.0
1476,Drama,2013,27.33
1477,Drama,1981,40.382659
1478,Drama,1992,243.240178
1479,Action,2001,79.958599
1480,Crime,2000,173.959438
1482,Horror,2011,64.626786
1484,Action,2006,62.022014
1486,Action,2004,54.700105
1487,Drama,2005,27.610873
1488,Action,2012,40.346186
1489,Comedy,1999,0.0
1490,Adventure,1983,572.7
1491,Action,2008,22.211426
1492,Drama,2008,113.01929
1493,Comedy,2012,24.159934
1494,Comedy,2003,173.398518
1495,Drama,1996,152.036382
1496,Adventure,2002,0.0
1497,Fantasy,1988,60.328
1498,Comedy,2006,80.197993
1499,Comedy,2011,288.383523
1500,Action,2013,126.041322
1501,Horror,1999,50.041732
1502,Drama,2000,48.814909
1503,Action,2010,69.055695
1504,Comedy,2013,21.819348
1505,Crime,2011,83.615414
1506,Thriller,2011,147.332697
1507,Action,1993,36.733909
1508,Thriller,2007,77.566815
1509,Adventure,2013,9.494789
1511,Drama,2005,0.0
1512,Drama,2005,60.740827
1513,Action,2005,85.167639
1514,Action,1995,18.55246
1515,Action,2004,30.016165
1516,Drama,1999,0.0
1517,Action,2010,18.409891
1518,Fantasy,2007,53.587404
1519,Fantasy,1996,0.0
1520,Comedy,2013,27.437881
1521,Animation,1997,3.566637
1522,Drama,1999,0.0
1524,Adventure,2004,0.0
1526,Comedy,2010,42.045846
1529,Drama,1985,128.499205
1530,Drama,2012,161.772375
1532,Comedy,2014,174.600318
1533,Drama,2001,24.185781
1534,Comedy,1990,53.20818
1535,Crime,2000,68.106245
1536,Comedy,2015,104.384188
1537,Comedy,1995,115.101622
1538,Action,2002,306.776732
1539,Comedy,1999,234.801895
1540,Comedy,2001,287.553595
1541,Animation,1995,373.554033
1542,Action,1994,350.448145
1543,Drama,2012,196.11457
1544,Drama,2010,15.134293
1545,Drama,2000,136.706683
1546,Action,1990,199.2
1547,Drama,2013,115.922175
1548,Comedy,2004,167.72231
1549,Horror,1991,191.502426
1550,Crime,1995,212.385533
1551,Comedy,2001,165.335153
1552,Comedy,1996,116.4
1553,Crime,1995,327.311859
1555,Animation,2004,140.161792
1556,Thriller,2003,156.82202
1557,Drama,2004,216.763646
1558,Comedy,1999,176.885658
1559,Romance,2004,115.603229
1560,Comedy,2008,160.259319
1561,Comedy,2009,155.545279
1562,Adventure,2000,0.000103
1563,Drama,1991,74.787599
1564,Adventure,1994,160.638883
1565,Drama,2009,163.67
1566,Drama,2002,105.834556
1567,Horror,2013,116.980662
1568,Action,2012,47.042
1569,Fantasy,2001,0.0
1570,Fantasy,1995,254.13491
1571,Drama,2012,114.281051
1572,Comedy,2008,105.173115
1573,Action,2005,92.374674
1574,Comedy,2008,63.833449
1575,Drama,1998,0.0
1576,Comedy,2009,114.663461
1577,Action,2004,69.631118
1578,Comedy,2004,96.455697
1579,Fantasy,2011,151.119219
1580,Animation,2014,0.0
1581,Crime,2001,83.282296
1582,Romance,1999,118.880016
1584,Comedy,2002,0.0
1585,Comedy,1994,51.132598
1586,Adventure,1985,152.42796
1587,Adventure,2005,192.452832
1588,Drama,2007,156.835339
1589,Comedy,2005,93.772522
1590,Drama,2007,129.266061
1591,Comedy,2010,0.0
1592,Action,1989,45.892212
1593,Comedy,2012,54.819301
1594,Romance,2005,117.195061
1595,Drama,2006,42.647449
1596,Action,2015,84.025816
1597,Action,2015,91.709827
1598,Horror,2009,90.810892
1599,Fantasy,2015,65.663276
1600,Comedy,2003,0.0
1601,Drama,2010,159.291809
1602,Adventure,2002,51.842679
1603,Comedy,2006,53.653224
1604,Horror,2007,75.505973
1605,Horror,2012,66.48608
1606,Comedy,2008,84.646831
1607,Adventure,1988,38.413606
1608,Action,1987,38.122105
1609,Horror,1986,38.748395
1610,Action,2011,63.782078
1611,Action,1997,51.376861
1612,Comedy,2011,36.160375
1613,Drama,2013,82.394288
1615,Action,2006,41.480851
1616,Action,2001,0.0
1617,Action,2009,48.428063
1618,Thriller,2013,63.372757
1619,Comedy,2004,0.0
1620,Animation,2011,14.46
1621,Comedy,2003,39.267515
1622,Comedy,1998,29.202884
1623,Drama,2014,31.911598
1624,Drama,1998,0.0
1625,Action,1995,24.048
1626,Fantasy,2006,60.896147
1627,Thriller,2014,0.0
1628,Action,2011,108.60931
1629,Comedy,2004,22.034832
1630,Comedy,2012,53.909751
1631,Comedy,2004,21.800302
1632,Romance,2010,51.148651
1634,Thriller,2005,35.29447
1635,Action,1998,19.204929
1636,Action,1996,17.193231
1637,Action,2002,0.0
1638,Drama,2010,102.820008
1639,Crime,2007,16.930884
1640,Drama,2005,25.224242
1641,Comedy,2004,26.155781
1642,Horror,2009,0.0
1643,Comedy,1986,37.962774
1644,Thriller,2008,31.148328
1645,Action,2005,15.007991
1646,Comedy,2003,15.368897
1647,Drama,2004,13.001257
1648,Horror,2011,24.922237
1649,Drama,2005,30.536013
1650,Action,1999,0.0
1651,Drama,1999,0.0
1652,Action,2009,0.0
1653,Action,2013,0.0
1654,Drama,2004,30.114487
1655,Comedy,2004,1.2e-05
1656,Comedy,2011,13.521829
1657,Drama,2005,18.618284
1658,Adventure,2009,64.352607
1659,Comedy,2010,8.454301
1660,Crime,2013,62.616646
1661,Action,2001,18.19561
1663,Drama,1984,0.0
1664,Thriller,2013,18.074539
1665,Drama,2004,0.0
1666,Crime,2003,0.0
1667,Action,2005,3.10255
1668,Drama,2006,35.078241
1669,Fantasy,2005,0.0
1670,Adventure,2006,0.480314
1671,Action,2007,14.711793
1672,Adventure,2011,0.108348
1673,Comedy,2009,0.0
1674,Thriller,2015,0.0
1675,Action,2011,2.527904
1676,Animation,2010,0.0
1678,Drama,2014,0.0
1679,Romance,2014,0.0
1680,Fantasy,2015,0.0
1681,Crime,2002,0.0
1683,Comedy,2015,287.506194
1684,Drama,2005,186.438883
1685,Comedy,2000,37.036004
1686,Adventure,1997,0.0
1687,Drama,2008,0.0
1688,Comedy,2002,33.013805
1689,Comedy,2002,16.930185
1691,Drama,1987,0.0
1692,Comedy,1999,0.0
1693,Drama,2004,24.829644
1694,Drama,2005,21.126225
1695,Animation,1992,504.050219
1696,Drama,2015,201.634991
1697,Adventure,1984,333.0
1698,Animation,1998,100.491683
1699,Crime,2001,105.178561
1701,Action,2003,98.185582
1702,Action,1988,140.767956
1703,Comedy,2008,92.380927
1704,Comedy,2015,133.346506
1706,Drama,2004,64.445708
1707,Fantasy,2004,102.356381
1708,Comedy,2001,94.728529
1709,Animation,2013,17.137302
1710,Comedy,2001,71.44125
1712,Comedy,2013,134.40245
1713,Adventure,1981,195.312802
1714,Comedy,2001,77.516304
1715,Thriller,1994,101.646581
1716,Comedy,2001,60.780981
1717,Romance,2013,97.59414
1718,Comedy,1993,39.514713
1719,Comedy,2007,92.60105
1720,Action,2010,96.188903
1721,Action,2011,40.54744
1722,Thriller,2000,33.000337
1724,Drama,2005,121.147947
1726,Adventure,1995,31.596911
1727,Action,2014,52.597999
1728,Drama,2007,54.926886
1729,Horror,2000,0.0
1731,Comedy,2006,38.159905
1732,Drama,1999,8.888143
1733,Action,2010,45.236543
1734,Adventure,1997,8.345056
1735,Action,2001,14.010832
1736,Comedy,2015,7.002261
1738,Drama,1997,5.684789
1739,Comedy,2008,17.286299
1740,Action,2013,60.7
1741,Action,2006,23.321954
1742,Action,2014,68.896829
1743,Adventure,1983,187.5
1744,Comedy,2007,219.076518
1745,Drama,2009,95.714875
1746,Comedy,2008,43.650785
1747,Drama,1984,27.187653
1748,Drama,2006,49.469904
1749,Drama,2007,24.74867
1751,Comedy,2002,0.0
1752,Drama,1997,60.527873
1754,Adventure,2008,44.352417
1755,Comedy,2012,0.0
1756,Drama,2002,129.0
1757,Horror,1999,56.870414
1758,Drama,2006,56.308881
1759,Drama,1983,21.5
1760,Drama,2011,15.395087
1761,Drama,1984,20.158808
1763,Drama,2008,0.0
1764,Adventure,1985,11.137801
1765,Crime,1998,76.0
1766,Horror,2009,29.0
1767,Crime,2004,13.0
1768,Drama,2007,0.0
1771,Thriller,2001,1.4e-05
1772,Comedy,1999,4.488529
1774,Comedy,2008,6.673422
1775,Drama,2003,0.0
1776,Comedy,2006,0.0
1777,Action,2009,183.293131
1778,Comedy,2003,110.230332
1779,Comedy,2005,109.449237
1780,Romance,1998,289.317794
1781,Crime,2014,53.1816
1782,Comedy,1990,201.957688
1783,Action,2008,101.624843
1784,Drama,1998,65.705772
1786,Drama,1990,61.489265
1788,Horror,2005,57.891803
1789,Horror,2003,90.426405
1790,Action,2000,71.868327
1791,Horror,2010,67.918658
1792,Thriller,2013,86.175291
1793,Comedy,2004,0.0
1794,Adventure,2002,38.793283
1795,Action,1985,0.0
1796,Drama,2009,43.318349
1797,Comedy,2004,28.818995
1798,Comedy,2011,142.044638
1799,Drama,2001,35.40232
1800,Crime,2012,29.657751
1801,Comedy,2004,14.0
1802,Action,1994,36.8
1803,Crime,1996,0.0
1804,Fantasy,1997,0.0
1805,Comedy,2001,0.0
1806,Romance,2015,0.0
1807,Adventure,1996,20.08002
1809,Drama,2005,82.46667
1810,Drama,2004,611.89942
1811,Comedy,1993,441.286195
1812,Drama,1988,412.8
1813,Drama,2008,269.958228
1814,Drama,2008,29.506464
1815,Action,2008,226.830568
1816,Drama,2014,35.926213
1817,Thriller,1992,411.00674
1818,Drama,1993,321.365567
1819,Drama,2011,124.272124
1820,Drama,2013,8.555008
1822,Thriller,2014,0.0
1823,Horror,2003,114.90883
1824,Thriller,2014,0.0
1825,Action,2001,80.936232
1826,Action,2008,170.764026
1828,Crime,1987,76.270454
1829,Crime,2007,171.6
1830,Action,2014,153.997819
1831,Comedy,2001,281.929795
1832,Comedy,2000,152.500343
1833,Comedy,2003,124.914842
1834,Comedy,2012,119.772232
1835,Comedy,2011,147.78044
1836,Action,1993,56.505065
1837,Action,2000,91.03676
1839,Horror,2006,117.719158
1840,Drama,2012,99.357138
1841,Adventure,2007,137.587063
1842,Drama,2004,116.766556
1843,Comedy,2013,0.0
1844,Action,2012,77.278331
1845,Horror,2005,122.64482
1846,Comedy,2004,90.574188
1847,Drama,1990,46.836394
1848,Action,2003,58.795814
1849,Fantasy,2005,122.489822
1850,Action,1983,65.884703
1851,Action,1997,0.0
1852,Drama,1987,43.98423
1853,Thriller,2012,63.1
1854,Action,1997,0.0
1855,Drama,2007,77.208711
1856,Animation,2002,0.0
1857,Animation,2003,0.0
1858,Action,2002,41.604473
1859,Drama,2005,39.053061
1860,Action,2001,64.437847
1861,Romance,2008,70.44294
1862,Comedy,2005,36.35135
1863,Drama,2014,38.307627
1864,Drama,2014,66.980456
1865,Comedy,2003,0.0
1866,Horror,2003,63.102666
1867,Comedy,2007,59.192128
1868,Action,2003,56.489558
1869,Drama,2002,41.59783
1870,Comedy,2006,33.889159
1872,Adventure,2004,70.992898
1873,Thriller,2013,2.415472
1874,Drama,2007,66.122026
1875,Drama,1998,82.150642
1876,Horror,1998,50.67185
1878,Adventure,1997,100.0
1879,Comedy,2011,34.942188
1880,Action,2009,0.0
1881,Drama,1994,28.341469
1882,Adventure,2001,39.438674
1883,Comedy,1996,25.023434
1884,Thriller,2014,39.17113
1885,Comedy,2013,74.188937
1886,Drama,2005,27.645491
1887,Comedy,2005,42.886719
1889,Drama,1998,21.567853
1890,Romance,1994,22.2
1891,Drama,2010,114.977104
1892,Action,2010,23.58
1893,Fantasy,2010,36.993168
1894,Action,2007,40.452643
1895,Comedy,2002,17.0
1896,Comedy,2004,20.796847
1897,Crime,2002,0.0
1898,Comedy,2006,0.0
1899,Drama,1988,0.0
1900,Animation,1996,0.0
1901,Drama,2005,15.431177
1902,Thriller,2009,33.333531
1903,Drama,2008,0.0
1904,Comedy,2000,24.362772
1905,Drama,2010,19.829957
1906,Comedy,2004,30.411183
1907,Action,1996,51.702483
1908,Action,2002,0.0
1909,Crime,2015,42.972994
1910,Action,2007,14.334401
1911,Horror,2011,10.126458
1912,Drama,1999,1.3e-05
1913,Drama,2014,28.831145
1914,Fantasy,1985,0.0
1915,Crime,2010,15.4788
1916,Drama,2005,13.411957
1917,Drama,2015,24.902723
1918,Action,1986,11.0
1919,Comedy,2012,0.0
1920,Action,2011,23.057115
1921,Drama,1996,16.9
1923,Drama,2008,11.20713
1924,Drama,2002,10.719357
1925,Drama,1999,13.0
1926,Horror,2012,85.446075
1927,Comedy,1996,10.07
1928,Drama,2011,10.324441
1929,Comedy,2006,11.772461
1930,Action,1991,0.0
1931,Adventure,2009,27.635305
1932,Action,1984,5.778353
1933,Action,2005,0.0
1934,Comedy,2001,0.0
1935,Drama,2005,0.0
1936,Action,1995,4.064495
1937,Comedy,2005,0.0
1938,Drama,2008,19.844979
1939,Action,2005,2.40542
1940,Comedy,2011,27.603069
1941,Drama,2005,0.0
1942,Fantasy,2012,34.153101
1943,Drama,1998,0.777423
1944,Comedy,2009,2.336172
1945,Drama,2013,19.255873
1946,Drama,2009,10.589102
1947,Animation,2010,0.0
1948,Comedy,2010,48.53147
1949,Drama,2010,0.0
1952,Thriller,2013,71.009334
1953,Romance,2011,0.0
1955,Crime,2014,0.0
1956,Action,2014,0.0
1957,Drama,1988,34.67072
1958,Adventure,2012,8.784318
1960,Drama,2006,155.721132
1961,Horror,1997,172.363301
1963,Comedy,2014,70.181428
1964,Comedy,2000,106.371651
1965,Drama,1984,80.035402
1966,Comedy,2003,87.055349
1967,Comedy,1991,41.895491
1968,Horror,1998,40.002112
1969,Romance,2000,36.609995
1970,Comedy,2008,42.105111
1971,Comedy,2000,0.0
1972,Comedy,2009,68.729358
1973,Adventure,2001,0.0
1974,Drama,1999,0.0
1975,Comedy,2004,16.980098
1976,Fantasy,1999,16.290976
1978,Action,2000,12.37241
1979,Comedy,1999,8.434146
1980,Romance,2011,30.551495
1981,Comedy,2010,83.188165
1982,Drama,2004,0.0
1983,Animation,1998,4.562146
1984,Adventure,1993,0.669276
1985,Romance,2004,0.0
1986,Crime,2010,23.081726
1987,Fantasy,2004,234.710455
1988,Comedy,2009,102.391382
1989,Comedy,1998,185.991646
1990,Adventure,1980,538.4
1991,Action,1995,141.407024
1992,Comedy,1991,86.930411
1993,Horror,2000,53.302314
1994,Drama,2011,75.993061
1995,Thriller,2000,53.187659
1996,Comedy,2001,0.0
1997,Romance,2013,47.351251
1999,Fantasy,2013,0.006399
2000,Drama,1999,18.653615
2001,Action,2000,0.0
2002,Action,2011,33.372606
2003,Adventure,1987,51.881013
2004,Drama,1996,0.0
2005,Drama,2008,0.0
2006,Drama,1999,10.827816
2007,Action,1991,7.434726
2009,Drama,2009,0.0
2011,Drama,2009,9.366227
2012,Drama,2004,16.123851
2013,Drama,2009,5.837674
2014,Horror,2007,94.679598
2015,Comedy,1987,38.119483
2017,Fantasy,1990,505.0
2018,Romance,1998,369.884651
2019,Fantasy,1994,189.833357
2020,Drama,2002,75.597042
2021,Comedy,2007,147.880543
2022,Drama,1995,182.016617
2023,Action,2001,84.772742
2024,Drama,1982,77.737889
2025,Drama,2014,88.880821
2026,Crime,1995,110.627965
2027,Drama,2001,92.542418
2028,Drama,2014,67.800064
2029,Fantasy,2003,95.708457
2030,Drama,2005,57.479076
2031,Drama,2009,35.424826
2032,Drama,1993,0.0
2033,Comedy,2005,22.400154
2034,Comedy,2013,51.164106
2036,Comedy,2001,19.351569
2037,Comedy,2012,77.112176
2038,Thriller,1999,0.0
2039,Comedy,2001,33.788161
2040,Drama,2001,23.619609
2042,Comedy,2001,0.0
2043,Action,2013,43.058898
2045,Comedy,2004,0.0
2046,Action,1993,10.69621
2047,Action,2001,0.0
2049,Comedy,1999,0.0
2050,Thriller,2015,72.62967
2051,Drama,2004,0.0
2052,Drama,2006,26.193068
2053,Romance,2005,17.709155
2054,Action,2012,14.4
2055,Action,2008,0.0
2058,Drama,2010,9.479718
2059,Romance,2007,0.0
2060,Thriller,2013,15.4
2061,Drama,2007,92.991835
2062,Comedy,1996,0.0
2063,Drama,1999,0.0
2064,Animation,2013,24.0
2065,Romance,2012,73.244881
2067,Animation,1999,0.0
2068,Comedy,2007,4.6e-05
2069,Action,1993,42.0
2070,Comedy,2001,40.222729
2071,Drama,2012,205.738714
2072,Crime,2007,41.170784
2073,Drama,2010,37.0
2074,Action,2002,43.928932
2075,Drama,2008,41.627431
2076,Horror,1999,17.762705
2077,Drama,2009,14.899417
2078,Drama,2008,17.6
2079,Romance,2002,10.01105
2080,Drama,2011,0.0
2081,Drama,1999,0.0
2082,Drama,2011,0.970816
2083,Comedy,1982,69.701637
2084,Action,1999,2.856712
2085,Adventure,1981,389.925971
2086,Comedy,1992,358.991681
2088,Horror,2006,29.907685
2089,Action,1987,299.965036
2090,Comedy,2003,132.675402
2091,Crime,1991,272.742922
2093,Comedy,2010,117.224271
2095,Adventure,2008,149.281606
2096,Horror,2013,318.000141
2097,Adventure,2005,97.918663
2098,Comedy,2014,100.525432
2099,Comedy,2003,131.282949
2100,Action,1995,122.19592
2101,Comedy,2004,113.086475
2102,Comedy,2011,177.243185
2103,Adventure,2003,0.0
2104,Drama,2010,0.0
2105,Drama,2013,187.0
2106,Drama,2002,57.588485
2107,Comedy,2010,60.072596
2108,Fantasy,1990,53.0
2110,Drama,2012,0.0
2113,Comedy,2006,48.548426
2114,Adventure,2002,109.862682
2117,Thriller,2005,67.192859
2118,Thriller,2007,84.146832
2119,Animation,2000,45.554533
2120,Horror,2009,41.596251
2121,Adventure,2015,43.967255
2122,Action,2007,86.865564
2123,Drama,2015,88.346473
